cwvScore,loadState,invoker,invokeCategory
544,dom-content-loaded,FrameRequestCallback,other
552,dom-content-loaded,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
552,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
552,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
552,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
552,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
552,complete,TimerHandler:setTimeout,other
552,complete,,
552,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
552,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/1661.732c33dd9c8b8479.js,hdm miscellaneous
552,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/6617.4f078cab2e77bc09.js,hdm miscellaneous
552,dom-content-loaded,https://www.popularmechanics.com/_assets/jam/renderer.js,other
552,dom-content-loaded,https://assets.hearstapps.com/com,other
552,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
552,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
552,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
552,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
552,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
552,dom-content-loaded,TimerHandler:setTimeout,other
552,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
552,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
